#.ttime_rel	Q	CODt	CODs	TSS	NH4	PO4
#d	m3/h	g/m3	g/m3	g/m3	g/m3	g/m3
320.0	5439.217773	683.917652895	205.647500488	456.148356293	37.57324219	7.0
320.00347	5237.989746	649.517518089	209.643473903	417.518077827	37.15820313	7.0
320.00694	2813.818604	644.933148951	166.02865996	606.113277651	37.25585938	7.0
320.01042	5649.453613	641.159396298	210.912099625	374.531263151	38.35449219	7.0
320.01389	5278.661133	660.065562395	203.232700271	425.279483866	38.81835938	7.0
320.01736	5263.185059	590.125707435	207.154774241	399.464242091	38.54980469	7.0
320.02083	5388.939453	642.383012586	207.292503526	375.538985086	37.93945313	7.0
320.02431	5111.164551	632.425449947	211.543316738	353.611501579	37.57324219	7.0
320.02778	5212.721191	639.382955985	213.692938195	363.220472586	37.42675781	7.0
320.03125	2565.346924	692.081201511	167.216794953	558.912892962	38.06152344	7.0
320.03472	5301.22168	641.170027121	207.476836118	380.624984693	38.76953125	7.0
320.03819	5348.589355	676.763577041	203.773714752	445.967138002	39.01367188	7.0
320.04167	5220.958496	697.090564414	206.342426265	465.742079899	38.30566406	6.93
320.04514	5149.129395	644.204171856	212.683047272	391.131530428	37.64648438	6.93
320.04861	2605.289551	729.617469583	149.762339776	647.301996188	37.48168945	6.93
320.05208	2915.448242	920.383263371	161.113716855	903.22786242	38.30566406	6.93
320.05556	5364.256836	709.752205359	204.963012539	525.095313879	39.11132813	6.93
320.05903	5247.534668	720.150211726	211.440125158	529.66661861	39.59960938	6.93
320.0625	5174.541016	723.38035168	208.458264351	520.061525388	38.72070313	6.93
320.06597	2842.820068	833.649891962	172.366222083	928.314121026	37.6953125	6.93
320.06944	2716.737549	791.650057425	176.750116834	791.729234096	37.20703125	6.93
320.07292	5158.925781	662.490270659	204.950453575	428.72903577	38.20800781	6.93
320.07639	5026.143555	731.27469397	203.470104061	444.708622486	39.33105469	6.93
320.07986	5250.630371	797.63216571	201.740233132	557.120064928	39.42871094	6.93
320.08333	3082.309814	755.316029548	166.969357622	603.624302703	38.8671875	6.86
320.08681	2805.067627	880.526027143	213.201662428	653.457545881	38.15917969	6.86
320.09028	5309.921387	630.691795568	198.043610699	396.442212975	37.79296875	6.86
320.09375	5241.760742	635.843942407	202.612418514	388.160161537	38.69628906	6.86
320.09722	3170.410889	580.09069436	243.546526938	199.450092086	40.01464844	6.86
320.10069	3015.225098	640.369391258	169.590023582	526.425203182	39.40429688	6.86
320.10417	3118.021973	849.917403022	275.954415565	529.707460322	39.0625	6.86
320.10764	5598.192383	632.757465218	211.93036732	373.70705877	38.20800781	6.86
320.11111	5419.469727	592.687115762	213.589226456	308.73220542	37.47558594	6.86
320.11458	5436.556152	599.61070284	212.395068047	306.945003057	37.57324219	6.86
320.11806	2723.318115	639.882318889	169.521671006	474.124143538	39.453125	6.86
320.12153	3388.049316	568.734613648	248.114971762	179.62531329	40.13671875	6.86
320.125	5613.25293	594.268094418	208.074671219	307.825769921	39.69726563	6.93
320.12847	5544.238281	587.222643221	210.764873719	290.026659893	38.74511719	6.93
320.13194	5512.088379	608.889995208	205.115902664	317.889953955	37.96386719	6.93
320.13542	2804.186523	602.165710068	162.395784518	411.73811728	37.71972656	6.93
320.13889	5351.819336	586.052058552	206.934748199	296.824417929	38.11035156	6.93
320.14236	5113.772949	551.644250577	202.880830246	249.152983989	39.79492188	6.93
320.14583	5045.632813	553.049394982	202.16544423	263.064455424	40.69824219	6.93
320.14931	2537.108643	591.195121367	147.102125114	435.087997407	39.94140625	6.93
320.15278	687.9341431	522.858291604	181.282918943	252.905209709	38.76953125	6.93
320.15625	5449.355469	513.05562847	201.346193369	244.466515873	37.93945313	6.93
320.15972	5245.845215	535.002713743	202.442572562	239.931606405	38.40332031	6.93
320.16319	5125.539063	532.560991169	204.055245855	232.175958926	39.99023438	6.93
320.16667	743.3439331	524.645559323	180.1155705	274.604407733	40.13671875	6.79
320.17014	4564.07373	514.465919645	206.79774099	198.848124813	39.11132813	6.79
320.17361	5458.926758	535.969269206	189.067860883	275.700395446	38.671875	6.79
320.17708	5084.267578	544.723910253	211.057885139	229.153692481	37.91503906	6.79
320.18056	2528.307617	548.031810293	166.45946708	311.537641333	39.2578125	6.79
320.18403	3493.019775	530.07022092	237.95355564	157.828264781	40.20996094	6.79
320.1875	5634.041504	524.607714507	198.053222123	254.980969531	40.28320313	6.79
320.19097	5146.412109	518.152324797	215.17334403	234.194301886	40.234375	6.79
320.19444	642.7109985	538.590239163	186.286518282	257.840376205	40.0461831088	6.79
320.19792	3345.540527	518.154490962	234.454470296	146.77841654	39.8579912175	6.79
320.20139	5436.849121	525.883557958	198.932878967	249.638520458	39.6697993263	6.79
